book,author,publication date,language,book publisher,ISBN,BNB id
The wind-up bird chronicle,Haruki Murakami,1998,English,The Harvill Press,186046470X,GB9902984
Dance dance dance : a novel,Haruki Murakami,1995,English,Vintage Books,0307777685/1448103673,GBB7H5193
Dance dance dance : a novel,Haruki Murakami,1994,English,Hamish Hamilton,0241131456,GB9422325
Dance dance dance,Haruki Murakami,1994,English,Penguin,0140154361,GB9573564
Hard-boiled wonderland and the end of the world : a novel,Haruki Murakami,1993,English,Vintage Books,1448103681/0307777693,GBB7H5194
The elephant vanishes,Haruki Murakami,1993,English,Hamish Hamilton,024100165X,GB9423853
The hard-boiled wonderland and the end of the world,Haruki Murakami,1992,English,Penguin,0140154353,GB9308575
The hard-boiled wonderland and the end of the world,Haruki Murakami,1991,English,Hamish Hamilton,0241131448,GB9424294
A wild sheep chase,Haruki Murakami,1991,English,Penguin,0140132759,GB9307358
A wild sheep chase,Haruki Murakami,1990,English,Hamish Hamilton,024112994X,GB9030859
